greet_dotnet_name,greet_dotnet_id
Pathway Cement Production (US National Average),ID=214998162
Pathway Concrete Production,ID=29422449
Pathway Residual Oil (Petroleum) from Crude Oil for Use as a Marine Fuel (Heavy Fuel Oil [HFO] 2.7%S),ID=57239968
Pathway Residual Oil (Petroleum) from Crude Oil for Use as a Marine Fuel (Heavy Fuel Oil [HFO] 0.5%%S),ID=215265709
Pathway Residual Oil (Petroleum) from Crude Oil for Use as a Marine Fuel (Heavy Fuel Oil [HFO] 0.1%%S),ID=215273415
Pathway MDO (1.92% S) production from HFO (2.7% S) and MGO (1.0% S),ID=215275508
Pathway MDO (0.5% S) production from HFO (0.5% S) and MGO (0.5% S),ID=215275802
Pathway MDO (0.1% S) production from HFO (0.1% S) and MGO (0.1% S),ID=215276174
Pathway Residual Oil (Petroleum) from Crude Oil for Use as a Marine Fuel (Marine Gas Oil [MGO] 1.0%%S),ID=215273762
Pathway Residual Oil (Petroleum) from Crude Oil for Use as a Marine Fuel (MGO 0.5%S),ID=215274365
Pathway Residual Oil (Petroleum) from Crude Oil for Use as a Marine Fuel (Marine Gas Oil [MGO] 0.1%S),ID=215274723
Pathway Fischer-Tropsch Marine Diesel from Natural Gas,ID=215320511
Pathway Fischer-Tropsch Marine Diesel from Biomass/Coal,ID=215346073
Pathway Renewable Diesel II (Marine) from Yellow Grease and HFO,ID=215281664
Pathway Fischer-Tropsch Marine Diesel from Biomass/Natural Gas,ID=215340874
Pathway Pyrolysis Oil (Marine Application) from Woody Biomass,ID=215306495
Pathway Fischer-Tropsch Marine Diesel from Forest Residue,ID=215314389
Pathway Renewable Diesel II (Marine) from Yellow Grease,ID=215280336
Pathway Poultry Farming Pathway ,ID=240510610
Pathway Swine farming Pathway ,ID=240067251
Pathway Renewable Fuels via CFP (2019 SOT),ID=241308149
Pathway Renewable Fuels via CFP (2022 design),ID=183428047
Pathway High octane gasoline via IDL (2019 SOT),ID=241284085
Pathway High octane gasoline via IDL (2022 design),ID=183308342
Pathway Algae Hydrothermal liquefaction (HTL) for Renewable Diesel (SCSA),ID=306514553
Pathway Combined Algae Processing (CAP) for Renewable Diesel (SCSA),ID=306515800
Pathway PFAD to Renewable Diesel II,ID=242576514
Pathway Ethanol Production from CO2 from Biorefineries (E-fuel,ID=243611151
Pathway FT Fuel Production with RWGS,ID=242829992
Pathway Hide: FT Fuel mix without H2 Recycle,ID=243010750
Pathway Methanol Production with RWGS,ID=243186540
Pathway Hide: Methanol Production without H2 recycle,ID=243448546
Pathway Compressed G.H2 as Byproduct from NGL Cracker plants - Scenario B,ID=245424810
Mix Propylene U.S. average production,ID=246076303
Mix Benzene U.S. average production,ID=246076405
Pathway Production of syngas from Coal,ID=57425997
Pathway Ethylene oxide fossil-based production,ID=246187280
Pathway Production of TPAOH,ID=55422452
Pathway Production of Dimethyl Ether of Polyethylene Glycol ,ID=55702215
Pathway Propylene Oxide Production Pathway,ID=57427014
Pathway Acrylic Acid  from Fossil Energy,ID=57428054
Pathway Isobutanol from Fossil Energy (with Syngas from Coal),ID=57430245
Pathway Isobutanol from Fossil Energy (with Syngas from Natural Gas),ID=57430333
Pathway Cyclohexane Production Pathway,ID=57434023
Pathway Distributed - Chile Mix in 2020,ID=83414466
Pathway Distributed - Electricity Mix for Lithium from Brine,ID=246114444
Pathway Lime Production for Lithium from Brine,ID=246115288
Pathway Lithium Carbonate Production in Chile,ID=246142883
Pathway Production of Lithium Hydroxide (LiOH) from Chile,ID=246143662
Pathway Spodumene Production from Ore,ID=246127477
Pathway Lithium Carbonate Produced from Lithium from Ore,ID=246139181
Pathway Lithium HydroxideProduced from Lithium from Ore,ID=246142091
Pathway Average Lithium Carbonate ,ID=55601685
Pathway Ammonia Production,ID=2001
Pathway Phosphoric acid (per ton of P2O5 product) Production,ID=2007
Pathway Lactic acid production from sludge via arrested anaerobic digestion,ID=246540821
Pathway Lactic acid production from food waste via arrested anaerobic digestion,ID=246556621
Pathway Lactic acid production from swine manure via arrested anaerobic digestion,ID=246560051
Pathway Lactic acid production from fats,ID=246560971
Mix Non Distributed - Papua New Guinea Mix for Ni Production,ID=246839307
Pathway Virgin Class I Nickel Production from Sulfidic Ores,ID=29006971
Pathway Production of Nickel Sulfate from MHP,ID=246843963
Mix Nickel Sulfate Production Mix,ID=246847350
Pathway Powertrain System (ICEV) Passenger Cars Type 1: Conventional Material,ID=66408643
Pathway Passenger Cars Type 1 Vehicle Body (HEV,ID=66408450
Mix Pyrolysis Gasoline U.S. average production,ID=271956964
Pathway Ethylene Glycol Production Pathway,ID=26658813
Pathway Carbon Monoxide Production Pathway,ID=272058701
Pathway Mixed Xylenes Production Pathway,ID=272059332
Pathway Paraxylene Production Pathway,ID=272061904
Pathway Purified Terephthalic Acid (PTA) Production Pathway,ID=272064077
Pathway Aluminum Sulfate (Liquid) Production Pathway,ID=272112628
Pathway Ferric Chloride Production Pathway,ID=272114635
Pathway Defoamant Production Pathway,ID=272115996
Pathway Dimethyl Terephthalate (DMT) Production Pathway,ID=272119939
Pathway High-Density Polyethylene (HDPE) Resin Production,ID=272559743
Pathway Low-Density Polyethylene (LDPE) Resin Production,ID=272560588
Pathway Polypropylene (PP) Resin Production,ID=272561406
Pathway Polyethylene Terephthalate (PET) Resin Production (PTA+EG route),ID=272637169
Pathway Polyethylene Terephthalate (PET) Resin Production (DMT+EG route),ID=272637892
Mix Polyethylene Terephthalate (PET) Resin: Combined Production,ID=272638496
Pathway Yellow Grease to HEFA,ID=272627855
Pathway Renewable diesel from swine manure HTL,ID=272635190
Pathway Renewable Diesel from Sludge Hydrothermal Liquefaction with NH3 removal (2020 SOT),ID=272586644
Pathway Renewable Diesel from Sludge Hydrothermal Liquefaction without NH3 removal (2020 SOT),ID=272586691
Pathway High octane gasoline via IDL (2020 SOT),ID=272654918
Pathway Renewable Fuels via CFP (2020 SOT),ID=272672510
Pathway Biochemical conversion of sugars to hydrocarbons (via BDO) - mass-based process allocation,ID=306516045
Pathway Corn Production for Biofuel Refinery,ID=2016
Pathway Corn Stover for Ethanol Plant,ID=871
Pathway Willow Production for Ethanol Plant,ID=31932377
Pathway Poplar Farming and Transportation,ID=215308096
Pathway Miscanthus Production for Ethanol plant,ID=139
Pathway Switchgrass Production for Ethanol Plant,ID=87
Pathway Sugarcane Production for Brazil Ethanol Plant,ID=9649500
Pathway Grain sorghum Production for Ethanol plant,ID=20109095
Pathway Sweet sorghum Production for Ethanol Plant (Conventional) (wet tonne) ,ID=20179506
Pathway Forage Sorghum Production for Ethanol Plant,ID=20185412
Pathway Soybean Production,ID=2018
Pathway Wheat straw production pathway,ID=272632914
Pathway Polyethylene furanoate (PEF) production: EtOH pretreatment + enzymatic hydrolysis,ID=272634613
Pathway Polyethylene furanoate (PEF) production: MeOH pretreatment + Methanolysis,ID=272636212
Pathway Polyethylene furanoate (PEF) production: Furanosolv pretreatment and hydrolysis,ID=272636943
Pathway Acrylonitrile Production,ID=273190128
Pathway  Methyl Methacrylate Production,ID=273190179
Pathway Polyacrylonitrile Production,ID=273190654
Pathway Carbon Fiber Production,ID=29092956
Pathway Forest residues to bioelectricity (Washington),ID=273861335
Pathway Forest residues to bioelectricity (Maine),ID=274055139
Pathway Forest residues to bioelectricity (North Carolina),ID=274297286
Pathway Poplar Production for Both Ethanol and HOG,ID=24247191
Pathway Production and transportation of Manganese Oxide (Mn2O),ID=56823919
Pathway Production of NMC(532),ID=245430352
Pathway Production of Manganese Sulfate,ID=56321316
Pathway Production of Direct Manganese,ID=274964313
Pathway Electrolytic Manganese Metal (EMM),ID=274966480
Mix Final Manganese,ID=274966890
Pathway Canola Production,ID=125
Pathway Renewable Diesel II from Soybeans,ID=2022
Pathway Tallow Biodiesel,ID=147886395
Pathway UCO Biodiesel,ID=276283662
Pathway Renewable Diesel II from UCO,ID=276283899
Pathway Palm FFB for Biodiesel Plant,ID=124
Pathway Jatropha Farming for Biodiesel Plant,ID=126
Pathway Camelina Farming for Biodiesel Plant,ID=127
Pathway Carinata Farming for Biodiesel Plant,ID=181477390
Pathway Ethanol Production from Corn Grain Fiber (Marginal),ID=148659595
Pathway Ethanol Production from Corn Grain Starch and Fiber (Combioned Gallon),ID=148656550
Pathway Steel Production,ID=55614252
Pathway Stainless Steel Production,ID=55950625
Pathway Iron Ore Production,ID=28807373
Pathway Steel Production DRI_100% NG,ID=275159837
Pathway Steel Production DRI_83% H2,ID=275163329
Pathway Steel Production FIT 100% H2,ID=275164418
Mix Steel Production DRI NG EAF Mix,ID=275162375
Mix Steel Production DRI83%H2 EAF Mix,ID=275164031
Mix Steel Production from FIT100%H2 EAF Mix,ID=275165107
Pathway Ethanol Production from Forest Residue,ID=20261
Pathway Brake Fluid Fabrication,ID=35039747
Pathway MHDV: Coolant Cleaner Production - Pathway,ID=277249084
Pathway MHDV: Drive Axle Lubricant Production - Pathway,ID=277251913
Pathway MHDV: Drive Axle Wheel-End Lubricant Production - Pathway,ID=277250452
Pathway MHDV: Inter-axle/Drive-shaft Lubricant Production - Pathway,ID=277250805
Pathway Power Steering Oil Fabrication,ID=35039715
Pathway MHDV: Steer Axle Lubricant Production - Pathway,ID=277248833
Pathway MHDV: Steer Axle Wheel-end Lubricant Production - Pathway,ID=277252028
Pathway MHDV: Trailer - Drive Axle Lubricant Production - Pathway,ID=277250351
Pathway MHDV: Trailer - Drive Axle Wheel-end Lubricant Production - Pathway,ID=277249472
Pathway Transmission Fluid Fabrication,ID=35039765
Pathway Windshield Fluid (Methanol) Production and Use,ID=30108742
Pathway MHDV Combination Long-Haul Truck - Trailer Assembly,ID=277577638
Pathway MHDV: Combination Long-Haul Truck - Chassis - Pathway,ID=277251192
Pathway MHDV: Combination Long-Haul Truck - CIDI Diesel - Powertrain - Pathway,ID=277251994
Pathway MHDV: Combination Long-Haul Truck - Electric - Electronic Controller - Pathway,ID=277249630
Pathway MHDV: Combination Long-Haul Truck - Electric - Traction Motor - Pathway,ID=277250959
Pathway MHDV: Combination Long-Haul Truck - Fuel-Cell G.H2 - Electronic Controller - Pathway,ID=277248773
Pathway MHDV: Combination Long-Haul Truck - Fuel-Cell G.H2 - Fuel-Cell Onboard Storage - Pathway,ID=277251956
Pathway MHDV: Combination Long-Haul Truck - Fuel-Cell G.H2 - Powertrain - Pathway,ID=277252063
Pathway MHDV: Combination Long-Haul Truck - Fuel-Cell G.H2 - Traction Motor - Pathway,ID=277251476
Pathway MHDV: Combination Long-Haul Truck - Grid-Independent Hybrid (Diesel) - Electronic Controller - Pathway,ID=277249856
Pathway MHDV: Combination Long-Haul Truck - Grid-Independent Hybrid (Diesel) - Powertrain - Pathway,ID=277248905
Pathway MHDV: Combination Long-Haul Truck - Grid-Independent Hybrid (Diesel) - Traction Motor - Pathway,ID=277250069
Pathway MHDV: Combination Long-Haul Truck - Trailer Auxiliary - Pathway,ID=277247462
Pathway MHDV: Combination Long-Haul Truck - Trailer Body - Pathway,ID=277247304
Pathway MHDV: Combination Long-Haul Truck - Trailer Chassis - Pathway,ID=277247361
Pathway MHDV: Combination Long-Haul Truck - Transmission - Pathway,ID=277250274
Pathway MHDV: Combination Long-Haul Truck - Vehicle Assembly,ID=277576731
Pathway MHDV: Combination Long-Haul Truck - Vehicle Body (ICEV,ID=277248498
Pathway Final Shape Cast Virgin Aluminum Product: Combined,ID=29068180
Pathway Final Shape Cast Recycled Aluminum Product: Combined,ID=34958636
Mix Average Cast Aluminum,ID=34958676
Pathway Aluminium Oxide Production,ID=86132256
Pathway Gamma Alumina ,ID=84543881
Pathway Zircon Sand (ZrSiO4) Production,ID=260457870
Pathway Coke From Coal Production for Steel manufacturing,ID=28831398
Pathway Central Plants: Compressed G.H2 production  from Biomass ,ID=4402
Pathway Central Plants: Compressed G.H2 production from Coke Oven Gas ,ID=44
Pathway Central Plants: Compressed G.H2 production from Dark Fermentation and MEC (Energy/H2 recovery),ID=118505432
Pathway Central Plants: Compressed G.H2 production from Pet Coke,ID=901
Pathway Central Plants: Compressed G.H2 production from SOEC Electrolysis (Nuclear LWR),ID=298134529
Pathway Central Plants: Compressed G.H2 production from Chlorine plants,ID=298135428
Pathway Refueling Stations: Compressed G.H2 from Electricity,ID=64
Pathway Hide: Refueling Stations: Compressed G.H2 from Ethanol,ID=461
Pathway Hide: Refueling Stations: Compressed G.H2 from Methanol,ID=46
Pathway Central Plants: L.H2 production from High Temperature Eletrolysis with SOEC,ID=49
Pathway Central Plants: L.H2 production from Biomass,ID=44033
Pathway Central Plants: L.H2 production from Coal,ID=52
Pathway Central Plants: L.H2 production from Coke Oven Gas,ID=51
Pathway Central Plants: L.H2 production from Electrolysis (HTGR),ID=50
Pathway Central Plants: L.H2 production  from PEM Electrolysis - Solar (or Wind),ID=48
Pathway Central Plants: L.H2 production from Nuclear Energy (Thermo-Chemical Cracking of Water),ID=278901863
Pathway Central Plants: Compressed G.H2 production from NGL Cracker plants - Substitution with NG,ID=302379103
Pathway Central Plants: L.H2 production from Dark Fermentation and MEC (Energy/H2 recovery),ID=302574824
Pathway Central Plants: L.H2 production from Chlorine Plants,ID=302573684
Pathway Central Plants: L.H2 production from NGL Cracker Plants,ID=302574248
Pathway Graphite Production (Battery Materials),ID=30538102
Pathway Natural Graphite Production - Pathway,ID=305917852
Pathway Hydrogen Fluoride Production - Pathway,ID=305913802
Pathway Fluorspar production ,ID=305989603
Pathway Ammonium Nitrate Production,ID=2004
Pathway Hydrofluoric acid production - Pathway,ID=305913915
Pathway Hydrochloric Acid Production in U.S.,ID=23907735
Pathway Nitric Acid Production,ID=2003
